option_name,response_time,reasoning,blended_cost,coherence,api_utility,context_window,implementation_complexity
o3,9.0,92.0,3.575,9.5,9,128000,1
Gemini 2.5 Pro Preview,30.7,90.0,6.5,9.5,8,1000000,1
o4-mini (high),43.6,88.0,3.575,9.0,9,128000,1
o3-mini,13.5,85.0,3.575,8.5,9,128000,1
Claude 3.7 Sonnet,7.5,83.0,12.0,8.5,8,200000,1
GPT-4o (Nov ’24),6.0,82.0,4.4,9.5,9,128000,1
DeepSeek R1,4.5,78.0,1.78,8.0,6,128000,1
Cohere Command R+,12.0,78.0,6.3,8.0,8,128000,1
Mistral Large 2,25.0,77.0,7.5,8.0,7,128000,2
Grok-3,9.9,76.0,8.0,8.0,6,128000,1
Gemini 2.5 Flash Preview,13.2,75.0,0.25,7.5,8,1000000,1
Mixtral 8×22B Instruct,8.0,74.0,0.4,7.5,6,64000,3
GPT-4.1 mini,5.6,73.0,1.3,8.0,9,128000,1
Llama 4 Maverick 17B,4.0,73.0,0.3,7.5,6,1000000,3
Llama 4 Scout,4.6,72.0,0.412,7.0,6,1000000,3
Grok 3 mini,5.0,72.0,4.0,7.5,6,128000,1
Gemini 2.0 Flash,2.4,70.0,0.20,7.5,8,1000000,1
Claude 3.5 Sonnet (Oct),7.1,70.0,12.0,8.0,8,200000,1
Gemma 3 27B,4.0,55.0,0.1,6.5,5,128000,3
Claude 3.5 Haiku,13.8,60.0,3.2,6.5,8,200000,1
